source_path,target_path,city_id,origin_img,pixel_loc_x,pixel_loc_y,A11,A12,tx,A21,A22,ty
../Cities/origin/@CITY_1@seg670850 (2)@1002@439@.png,../Cities/origin/@CITY_1@seg670850 (3)@1002@439@.png,CITY_1,seg670850,1002,439,1.2231957,0.022179449,-3.2579331,-0.022179449,1.2231957,-9.396394
../Cities/origin/@CITY_1@seg670850 (2)@36@2027@.png,../Cities/origin/@CITY_1@seg670850 (3)@36@2027@.png,CITY_1,seg670850,36,2027,0.9043225,0.18813892,-1.5357409,-0.18813892,0.9043225,-3.7097065
../Cities/origin/@CITY_1@seg670850 (2)@584@269@.png,../Cities/origin/@CITY_1@seg670850 (3)@584@269@.png,CITY_1,seg670850,584,269,1.1612965,-0.2868,-2.6862428,0.2868,1.1612965,-0.7353133
../Cities/origin/@CITY_1@seg670850 (2)@2473@3334@.png,../Cities/origin/@CITY_1@seg670850 (3)@2473@3334@.png,CITY_1,seg670850,2473,3334,0.7945887,0.045999408,-9.976364,-0.045999408,0.7945887,1.0715232
../Cities/origin/@CITY_1@seg670850 (2)@1778@810@.png,../Cities/origin/@CITY_1@seg670850 (3)@1778@810@.png,CITY_1,seg670850,1778,810,1.1711885,-0.30163106,9.586178,0.30163106,1.1711885,-0.90736926
../Cities/origin/@CITY_1@seg670850 (2)@1672@2317@.png,../Cities/origin/@CITY_1@seg670850 (3)@1672@2317@.png,CITY_1,seg670850,1672,2317,0.79072875,0.07138355,6.8752027,-0.07138355,0.79072875,5.648063
../Cities/origin/@CITY_1@seg670850 (2)@4056@3977@.png,../Cities/origin/@CITY_1@seg670850 (3)@4056@3977@.png,CITY_1,seg670850,4056,3977,0.9521464,-0.10163481,-6.12642,0.10163481,0.9521464,9.008413
../Cities/origin/@CITY_1@seg670850 (2)@220@2967@.png,../Cities/origin/@CITY_1@seg670850 (3)@220@2967@.png,CITY_1,seg670850,220,2967,0.9693033,-0.09473167,3.048808,0.09473167,0.9693033,1.6366138
../Cities/origin/@CITY_1@seg670850 (2)@3963@3368@.png,../Cities/origin/@CITY_1@seg670850 (3)@3963@3368@.png,CITY_1,seg670850,3963,3368,1.192236,0.17035007,1.280307,-0.17035007,1.192236,-8.837308
../Cities/origin/@CITY_1@seg670850 (2)@393@152@.png,../Cities/origin/@CITY_1@seg670850 (3)@393@152@.png,CITY_1,seg670850,393,152,0.98009855,0.24383943,-3.3156605,-0.24383943,0.98009855,0.4469933
../Cities/origin/@CITY_1@seg670850 (2)@3891@3482@.png,../Cities/origin/@CITY_1@seg670850 (3)@3891@3482@.png,CITY_1,seg670850,3891,3482,0.98582596,0.26143968,1.9424567,-0.26143968,0.98582596,6.025201
../Cities/origin/@CITY_1@seg670850 (2)@1711@1230@.png,../Cities/origin/@CITY_1@seg670850 (3)@1711@1230@.png,CITY_1,seg670850,1711,1230,1.0983323,-0.030863764,3.867274,0.030863764,1.0983323,3.193837
../Cities/origin/@CITY_1@seg670850 (2)@3675@1963@.png,../Cities/origin/@CITY_1@seg670850 (3)@3675@1963@.png,CITY_1,seg670850,3675,1963,1.1815796,0.04386328,8.089501,-0.04386328,1.1815796,-4.5432014
../Cities/origin/@CITY_1@seg670850 (2)@2191@445@.png,../Cities/origin/@CITY_1@seg670850 (3)@2191@445@.png,CITY_1,seg670850,2191,445,1.0820186,-0.2711007,-2.8740294,0.2711007,1.0820186,5.796261
../Cities/origin/@CITY_1@seg670850 (2)@3547@1900@.png,../Cities/origin/@CITY_1@seg670850 (3)@3547@1900@.png,CITY_1,seg670850,3547,1900,1.1928451,-0.20129864,-9.808467,0.20129864,1.1928451,-7.185596
../Cities/origin/@CITY_1@seg670850 (2)@3678@2608@.png,../Cities/origin/@CITY_1@seg670850 (3)@3678@2608@.png,CITY_1,seg670850,3678,2608,1.029956,-0.07889832,-8.02372,0.07889832,1.029956,-8.138274
../Cities/origin/@CITY_1@seg670850 (2)@2092@2256@.png,../Cities/origin/@CITY_1@seg670850 (3)@2092@2256@.png,CITY_1,seg670850,2092,2256,1.1727333,-0.22838143,-9.337983,0.22838143,1.1727333,4.2966175
../Cities/origin/@CITY_1@seg670850 (2)@1724@3766@.png,../Cities/origin/@CITY_1@seg670850 (3)@1724@3766@.png,CITY_1,seg670850,1724,3766,1.0064329,0.14533123,-4.712053,-0.14533123,1.0064329,-9.903517
../Cities/origin/@CITY_1@seg670850 (2)@3648@845@.png,../Cities/origin/@CITY_1@seg670850 (3)@3648@845@.png,CITY_1,seg670850,3648,845,0.90065414,0.12264838,-0.96048,-0.12264838,0.90065414,-7.9860682
../Cities/origin/@CITY_1@seg670850 (2)@2201@3446@.png,../Cities/origin/@CITY_1@seg670850 (3)@2201@3446@.png,CITY_1,seg670850,2201,3446,1.0452986,-0.20116922,1.3476285,0.20116922,1.0452986,-8.984117
../Cities/origin/@CITY_1@seg670850 (2)@2653@76@.png,../Cities/origin/@CITY_1@seg670850 (3)@2653@76@.png,CITY_1,seg670850,2653,76,0.75115824,0.10674813,8.832432,-0.10674813,0.75115824,-5.3545613
../Cities/origin/@CITY_1@seg670850 (2)@2893@733@.png,../Cities/origin/@CITY_1@seg670850 (3)@2893@733@.png,CITY_1,seg670850,2893,733,0.7857852,-0.16062233,1.2372394,0.16062233,0.7857852,-3.391712
../Cities/origin/@CITY_1@seg670850 (2)@1821@3276@.png,../Cities/origin/@CITY_1@seg670850 (3)@1821@3276@.png,CITY_1,seg670850,1821,3276,1.0858126,-0.04159029,7.9540324,0.04159029,1.0858126,8.42465
../Cities/origin/@CITY_1@seg670850 (2)@3006@4089@.png,../Cities/origin/@CITY_1@seg670850 (3)@3006@4089@.png,CITY_1,seg670850,3006,4089,1.1161845,0.124334715,9.325642,-0.124334715,1.1161845,-8.6048355
../Cities/origin/@CITY_1@seg670850 (2)@1059@3490@.png,../Cities/origin/@CITY_1@seg670850 (3)@1059@3490@.png,CITY_1,seg670850,1059,3490,1.0170798,-0.14168262,2.2960975,0.14168262,1.0170798,-8.3175125
../Cities/origin/@CITY_1@seg670850 (2)@4019@1689@.png,../Cities/origin/@CITY_1@seg670850 (3)@4019@1689@.png,CITY_1,seg670850,4019,1689,0.75233585,-0.11813117,-7.4385643,0.11813117,0.75233585,2.4941797
../Cities/origin/@CITY_1@seg670850 (2)@1400@750@.png,../Cities/origin/@CITY_1@seg670850 (3)@1400@750@.png,CITY_1,seg670850,1400,750,0.880414,-0.04089398,-5.143091,0.04089398,0.880414,-7.6228538
../Cities/origin/@CITY_1@seg670850 (2)@3383@1072@.png,../Cities/origin/@CITY_1@seg670850 (3)@3383@1072@.png,CITY_1,seg670850,3383,1072,0.9555104,0.11065175,1.493494,-0.11065175,0.9555104,5.1788197
../Cities/origin/@CITY_1@seg670850 (2)@3452@579@.png,../Cities/origin/@CITY_1@seg670850 (3)@3452@579@.png,CITY_1,seg670850,3452,579,1.1201532,-0.08027367,1.2185222,0.08027367,1.1201532,-3.907418
../Cities/origin/@CITY_1@seg670850 (2)@1277@1234@.png,../Cities/origin/@CITY_1@seg670850 (3)@1277@1234@.png,CITY_1,seg670850,1277,1234,0.9305215,-0.09708218,9.659314,0.09708218,0.9305215,-8.733459
../Cities/origin/@CITY_1@seg670850 (2)@2861@2976@.png,../Cities/origin/@CITY_1@seg670850 (3)@2861@2976@.png,CITY_1,seg670850,2861,2976,1.1113864,0.28937128,8.701511,-0.28937128,1.1113864,-5.460211
../Cities/origin/@CITY_1@seg670850 (2)@2536@1032@.png,../Cities/origin/@CITY_1@seg670850 (3)@2536@1032@.png,CITY_1,seg670850,2536,1032,0.7621841,-0.10811596,-6.561166,0.10811596,0.7621841,2.6536071
../Cities/origin/@CITY_1@seg670850 (2)@733@1027@.png,../Cities/origin/@CITY_1@seg670850 (3)@733@1027@.png,CITY_1,seg670850,733,1027,0.9427081,-0.2259972,-1.4378229,0.2259972,0.9427081,-0.5398958
../Cities/origin/@CITY_1@seg670850 (2)@3330@1265@.png,../Cities/origin/@CITY_1@seg670850 (3)@3330@1265@.png,CITY_1,seg670850,3330,1265,1.1989063,-0.12166485,2.0645623,0.12166485,1.1989063,-4.56535
../Cities/origin/@CITY_1@seg670850 (2)@2489@3178@.png,../Cities/origin/@CITY_1@seg670850 (3)@2489@3178@.png,CITY_1,seg670850,2489,3178,1.2224066,0.23865893,8.801169,-0.23865893,1.2224066,6.4522424
../Cities/origin/@CITY_1@seg670850 (2)@3561@3683@.png,../Cities/origin/@CITY_1@seg670850 (3)@3561@3683@.png,CITY_1,seg670850,3561,3683,1.1620152,-0.25220415,7.7887797,0.25220415,1.1620152,-1.2618294
../Cities/origin/@CITY_1@seg670850 (2)@2449@2262@.png,../Cities/origin/@CITY_1@seg670850 (3)@2449@2262@.png,CITY_1,seg670850,2449,2262,0.85754395,-0.0089952275,8.143778,0.0089952275,0.85754395,0.44915703
../Cities/origin/@CITY_1@seg670850 (2)@2218@2234@.png,../Cities/origin/@CITY_1@seg670850 (3)@2218@2234@.png,CITY_1,seg670850,2218,2234,1.0715668,0.051949,1.3846737,-0.051949,1.0715668,-6.4902945
../Cities/origin/@CITY_1@seg670850 (2)@2724@2806@.png,../Cities/origin/@CITY_1@seg670850 (3)@2724@2806@.png,CITY_1,seg670850,2724,2806,1.1010357,-0.19828752,-3.2571971,0.19828752,1.1010357,-9.679294
../Cities/origin/@CITY_1@seg670850 (2)@1579@85@.png,../Cities/origin/@CITY_1@seg670850 (3)@1579@85@.png,CITY_1,seg670850,1579,85,0.98264056,0.23701052,-4.863463,-0.23701052,0.98264056,-2.865207
../Cities/origin/@CITY_1@seg670850 (2)@3336@589@.png,../Cities/origin/@CITY_1@seg670850 (3)@3336@589@.png,CITY_1,seg670850,3336,589,1.039792,-0.14890419,6.5021253,0.14890419,1.039792,0.3325394
../Cities/origin/@CITY_1@seg670850 (2)@3085@2453@.png,../Cities/origin/@CITY_1@seg670850 (3)@3085@2453@.png,CITY_1,seg670850,3085,2453,1.0365156,-0.07836774,5.4953732,0.07836774,1.0365156,1.6869296
../Cities/origin/@CITY_1@seg670850 (2)@2555@1523@.png,../Cities/origin/@CITY_1@seg670850 (3)@2555@1523@.png,CITY_1,seg670850,2555,1523,0.86964923,0.18233189,8.769136,-0.18233189,0.86964923,-5.8013415
../Cities/origin/@CITY_1@seg670850 (2)@2496@756@.png,../Cities/origin/@CITY_1@seg670850 (3)@2496@756@.png,CITY_1,seg670850,2496,756,0.804741,0.13673827,7.6963353,-0.13673827,0.804741,-2.2870147
../Cities/origin/@CITY_1@seg670850 (2)@2039@2888@.png,../Cities/origin/@CITY_1@seg670850 (3)@2039@2888@.png,CITY_1,seg670850,2039,2888,1.0142815,0.11246323,-4.3952723,-0.11246323,1.0142815,3.0632966
../Cities/origin/@CITY_1@seg670850 (2)@2397@1804@.png,../Cities/origin/@CITY_1@seg670850 (3)@2397@1804@.png,CITY_1,seg670850,2397,1804,1.1777189,0.15332285,1.4652414,-0.15332285,1.1777189,9.058892
../Cities/origin/@CITY_1@seg670850 (2)@499@866@.png,../Cities/origin/@CITY_1@seg670850 (3)@499@866@.png,CITY_1,seg670850,499,866,0.81073713,-0.06785444,7.3950768,0.06785444,0.81073713,9.273577
../Cities/origin/@CITY_1@seg670850 (2)@2099@3223@.png,../Cities/origin/@CITY_1@seg670850 (3)@2099@3223@.png,CITY_1,seg670850,2099,3223,1.1004896,-0.26572093,-0.6654174,0.26572093,1.1004896,-5.5198374
../Cities/origin/@CITY_1@seg670850 (2)@110@3415@.png,../Cities/origin/@CITY_1@seg670850 (3)@110@3415@.png,CITY_1,seg670850,110,3415,1.207696,0.018440088,3.8332648,-0.018440088,1.207696,3.6893609
../Cities/origin/@CITY_1@seg670850 (2)@135@1143@.png,../Cities/origin/@CITY_1@seg670850 (3)@135@1143@.png,CITY_1,seg670850,135,1143,0.90717036,0.18402502,3.6138983,-0.18402502,0.90717036,1.858597
../Cities/origin/@CITY_1@seg670850 (2)@43@3191@.png,../Cities/origin/@CITY_1@seg670850 (3)@43@3191@.png,CITY_1,seg670850,43,3191,0.8441572,0.067953914,-7.2044463,-0.067953914,0.8441572,3.3230772
../Cities/origin/@CITY_1@seg670850 (2)@1282@4148@.png,../Cities/origin/@CITY_1@seg670850 (3)@1282@4148@.png,CITY_1,seg670850,1282,4148,0.891766,-0.16541941,-4.1574774,0.16541941,0.891766,-2.3790555
../Cities/origin/@CITY_1@seg670850 (2)@4016@2254@.png,../Cities/origin/@CITY_1@seg670850 (3)@4016@2254@.png,CITY_1,seg670850,4016,2254,0.75275254,-0.11715902,7.878633,0.11715902,0.75275254,9.896191
../Cities/origin/@CITY_1@seg670850 (2)@1793@2774@.png,../Cities/origin/@CITY_1@seg670850 (3)@1793@2774@.png,CITY_1,seg670850,1793,2774,1.1171571,-0.063469745,0.12551226,0.063469745,1.1171571,2.3945415
../Cities/origin/@CITY_1@seg670850 (2)@2991@1646@.png,../Cities/origin/@CITY_1@seg670850 (3)@2991@1646@.png,CITY_1,seg670850,2991,1646,1.1678687,-0.20923392,-9.27065,0.20923392,1.1678687,-6.6008444
../Cities/origin/@CITY_1@seg670850 (2)@1671@992@.png,../Cities/origin/@CITY_1@seg670850 (3)@1671@992@.png,CITY_1,seg670850,1671,992,0.7668424,0.019377777,4.3336735,-0.019377777,0.7668424,-9.919989
../Cities/origin/@CITY_1@seg670850 (2)@2798@2483@.png,../Cities/origin/@CITY_1@seg670850 (3)@2798@2483@.png,CITY_1,seg670850,2798,2483,1.137415,0.16047542,6.680158,-0.16047542,1.137415,2.921315
../Cities/origin/@CITY_1@seg670850 (2)@2430@2705@.png,../Cities/origin/@CITY_1@seg670850 (3)@2430@2705@.png,CITY_1,seg670850,2430,2705,1.1147214,0.075210154,8.054134,-0.075210154,1.1147214,0.24161594
../Cities/origin/@CITY_1@seg670850 (2)@388@995@.png,../Cities/origin/@CITY_1@seg670850 (3)@388@995@.png,CITY_1,seg670850,388,995,0.9077137,-0.06516219,-9.929855,0.06516219,0.9077137,-9.816416
../Cities/origin/@CITY_1@seg670850 (2)@1247@1879@.png,../Cities/origin/@CITY_1@seg670850 (3)@1247@1879@.png,CITY_1,seg670850,1247,1879,1.0961099,0.18637231,0.005558945,-0.18637231,1.0961099,0.73205924
../Cities/origin/@CITY_1@seg670850 (2)@835@2985@.png,../Cities/origin/@CITY_1@seg670850 (3)@835@2985@.png,CITY_1,seg670850,835,2985,0.9473239,0.22961557,4.097828,-0.22961557,0.9473239,-0.42678863
../Cities/origin/@CITY_1@seg670850 (2)@1156@2586@.png,../Cities/origin/@CITY_1@seg670850 (3)@1156@2586@.png,CITY_1,seg670850,1156,2586,0.79008424,0.037981004,8.788974,-0.037981004,0.79008424,-7.792447
../Cities/origin/@CITY_1@seg670850 (2)@810@607@.png,../Cities/origin/@CITY_1@seg670850 (3)@810@607@.png,CITY_1,seg670850,810,607,0.9501829,0.05491263,1.9153601,-0.05491263,0.9501829,-4.3758993
../Cities/origin/@CITY_1@seg670850 (2)@3292@2411@.png,../Cities/origin/@CITY_1@seg670850 (3)@3292@2411@.png,CITY_1,seg670850,3292,2411,0.7723156,0.14313757,7.928281,-0.14313757,0.7723156,9.327324
../Cities/origin/@CITY_1@seg670850 (2)@2710@1108@.png,../Cities/origin/@CITY_1@seg670850 (3)@2710@1108@.png,CITY_1,seg670850,2710,1108,0.85321873,-0.107142046,-5.7118316,0.107142046,0.85321873,-0.53633523
../Cities/origin/@CITY_1@seg670850 (2)@2195@2001@.png,../Cities/origin/@CITY_1@seg670850 (3)@2195@2001@.png,CITY_1,seg670850,2195,2001,0.81780696,-0.18726104,2.6164641,0.18726104,0.81780696,-1.1575482
../Cities/origin/@CITY_1@seg670850 (2)@1324@2909@.png,../Cities/origin/@CITY_1@seg670850 (3)@1324@2909@.png,CITY_1,seg670850,1324,2909,0.86843556,0.16597645,-0.73459256,-0.16597645,0.86843556,-1.804797
../Cities/origin/@CITY_1@seg670850 (2)@2316@2135@.png,../Cities/origin/@CITY_1@seg670850 (3)@2316@2135@.png,CITY_1,seg670850,2316,2135,1.0176122,0.097848624,-6.948944,-0.097848624,1.0176122,5.420845
../Cities/origin/@CITY_1@seg670850 (2)@3633@2429@.png,../Cities/origin/@CITY_1@seg670850 (3)@3633@2429@.png,CITY_1,seg670850,3633,2429,1.0319619,-0.18269159,7.6096735,0.18269159,1.0319619,-9.309506
../Cities/origin/@CITY_1@seg670850 (2)@2755@4010@.png,../Cities/origin/@CITY_1@seg670850 (3)@2755@4010@.png,CITY_1,seg670850,2755,4010,1.0661563,-0.24348052,-9.752212,0.24348052,1.0661563,-1.8758004
../Cities/origin/@CITY_1@seg670850 (2)@1103@1272@.png,../Cities/origin/@CITY_1@seg670850 (3)@1103@1272@.png,CITY_1,seg670850,1103,1272,0.779365,-0.13075188,-3.70459,0.13075188,0.779365,7.031329
../Cities/origin/@CITY_1@seg670850 (2)@2394@1108@.png,../Cities/origin/@CITY_1@seg670850 (3)@2394@1108@.png,CITY_1,seg670850,2394,1108,1.0298392,-0.23936258,-4.6658816,0.23936258,1.0298392,-3.1263695
../Cities/origin/@CITY_1@seg670850 (2)@4181@342@.png,../Cities/origin/@CITY_1@seg670850 (3)@4181@342@.png,CITY_1,seg670850,4181,342,1.1933244,0.06790603,8.796841,-0.06790603,1.1933244,8.710882
../Cities/origin/@CITY_1@seg670850 (2)@1976@1482@.png,../Cities/origin/@CITY_1@seg670850 (3)@1976@1482@.png,CITY_1,seg670850,1976,1482,0.7458462,-0.10646209,-1.5970676,0.10646209,0.7458462,-2.413015
../Cities/origin/@CITY_1@seg670850 (2)@3442@292@.png,../Cities/origin/@CITY_1@seg670850 (3)@3442@292@.png,CITY_1,seg670850,3442,292,1.2397875,0.15068087,1.7979977,-0.15068087,1.2397875,9.516045
../Cities/origin/@CITY_1@seg670850 (2)@37@3667@.png,../Cities/origin/@CITY_1@seg670850 (3)@37@3667@.png,CITY_1,seg670850,37,3667,1.1091844,0.11580604,7.6038637,-0.11580604,1.1091844,-9.640006
../Cities/origin/@CITY_1@seg670850 (2)@2822@2645@.png,../Cities/origin/@CITY_1@seg670850 (3)@2822@2645@.png,CITY_1,seg670850,2822,2645,0.8089647,-0.16860963,5.744972,0.16860963,0.8089647,-1.9195007
../Cities/origin/@CITY_1@seg670850 (2)@2648@3729@.png,../Cities/origin/@CITY_1@seg670850 (3)@2648@3729@.png,CITY_1,seg670850,2648,3729,0.8147746,-0.08016644,9.490594,0.08016644,0.8147746,-6.4444566
../Cities/origin/@CITY_1@seg670850 (2)@4096@3748@.png,../Cities/origin/@CITY_1@seg670850 (3)@4096@3748@.png,CITY_1,seg670850,4096,3748,0.88334835,0.030310234,2.1893034,-0.030310234,0.88334835,-6.249884
../Cities/origin/@CITY_1@seg670850 (2)@3793@2597@.png,../Cities/origin/@CITY_1@seg670850 (3)@3793@2597@.png,CITY_1,seg670850,3793,2597,1.2088039,-0.23573002,-7.9243574,0.23573002,1.2088039,3.3129904
../Cities/origin/@CITY_1@seg670850 (2)@2995@2871@.png,../Cities/origin/@CITY_1@seg670850 (3)@2995@2871@.png,CITY_1,seg670850,2995,2871,0.873203,0.1536002,-7.566959,-0.1536002,0.873203,-6.4586935
../Cities/origin/@CITY_1@seg670850 (2)@4072@798@.png,../Cities/origin/@CITY_1@seg670850 (3)@4072@798@.png,CITY_1,seg670850,4072,798,1.0545672,0.020302394,6.4580483,-0.020302394,1.0545672,0.32646224
../Cities/origin/@CITY_1@seg670850 (2)@399@3117@.png,../Cities/origin/@CITY_1@seg670850 (3)@399@3117@.png,CITY_1,seg670850,399,3117,1.1843824,0.008393679,-9.086744,-0.008393679,1.1843824,5.816553
../Cities/origin/@CITY_1@seg670850 (2)@3635@1065@.png,../Cities/origin/@CITY_1@seg670850 (3)@3635@1065@.png,CITY_1,seg670850,3635,1065,0.82761174,0.0408796,-3.9792857,-0.0408796,0.82761174,5.726318
../Cities/origin/@CITY_1@seg670850 (2)@3038@2002@.png,../Cities/origin/@CITY_1@seg670850 (3)@3038@2002@.png,CITY_1,seg670850,3038,2002,0.76269543,-0.09315229,-1.7992144,0.09315229,0.76269543,-1.2330865
../Cities/origin/@CITY_1@seg670850 (2)@2690@479@.png,../Cities/origin/@CITY_1@seg670850 (3)@2690@479@.png,CITY_1,seg670850,2690,479,1.1884007,0.2246792,-4.062746,-0.2246792,1.1884007,-4.7501965
../Cities/origin/@CITY_1@seg670850 (2)@3834@603@.png,../Cities/origin/@CITY_1@seg670850 (3)@3834@603@.png,CITY_1,seg670850,3834,603,0.7500685,-0.10675143,4.8759418,0.10675143,0.7500685,3.842678
../Cities/origin/@CITY_1@seg670850 (2)@1985@2057@.png,../Cities/origin/@CITY_1@seg670850 (3)@1985@2057@.png,CITY_1,seg670850,1985,2057,1.0495926,-0.21368077,2.7660334,0.21368077,1.0495926,-0.60195774
../Cities/origin/@CITY_1@seg670850 (2)@1970@3392@.png,../Cities/origin/@CITY_1@seg670850 (3)@1970@3392@.png,CITY_1,seg670850,1970,3392,1.1215363,0.081659205,-2.0400531,-0.081659205,1.1215363,9.860889
../Cities/origin/@CITY_1@seg670850 (2)@1329@1418@.png,../Cities/origin/@CITY_1@seg670850 (3)@1329@1418@.png,CITY_1,seg670850,1329,1418,0.8850915,-0.0048284503,3.0298738,0.0048284503,0.8850915,6.038809
../Cities/origin/@CITY_1@seg670850 (2)@284@3378@.png,../Cities/origin/@CITY_1@seg670850 (3)@284@3378@.png,CITY_1,seg670850,284,3378,0.94742244,0.089907415,-7.104175,-0.089907415,0.94742244,-2.8898427
../Cities/origin/@CITY_1@seg670850 (2)@2077@960@.png,../Cities/origin/@CITY_1@seg670850 (3)@2077@960@.png,CITY_1,seg670850,2077,960,0.9749851,0.20328061,-5.9672427,-0.20328061,0.9749851,3.734669
../Cities/origin/@CITY_1@seg670850 (2)@777@3899@.png,../Cities/origin/@CITY_1@seg670850 (3)@777@3899@.png,CITY_1,seg670850,777,3899,0.801724,0.21415885,-5.6509013,-0.21415885,0.801724,2.4559557
../Cities/origin/@CITY_1@seg670850 (2)@3316@3181@.png,../Cities/origin/@CITY_1@seg670850 (3)@3316@3181@.png,CITY_1,seg670850,3316,3181,0.8071983,0.08336006,-6.217337,-0.08336006,0.8071983,-9.983109
../Cities/origin/@CITY_1@seg670850 (2)@3332@3602@.png,../Cities/origin/@CITY_1@seg670850 (3)@3332@3602@.png,CITY_1,seg670850,3332,3602,1.2067477,-0.09949455,-0.7018709,0.09949455,1.2067477,-8.261804
../Cities/origin/@CITY_1@seg670850 (2)@2619@2213@.png,../Cities/origin/@CITY_1@seg670850 (3)@2619@2213@.png,CITY_1,seg670850,2619,2213,0.87958264,-0.087803684,-7.6546855,0.087803684,0.87958264,-1.5936787
../Cities/origin/@CITY_1@seg670850 (2)@2098@3091@.png,../Cities/origin/@CITY_1@seg670850 (3)@2098@3091@.png,CITY_1,seg670850,2098,3091,0.77141964,-0.10363917,8.309239,0.10363917,0.77141964,3.2136106
../Cities/origin/@CITY_1@seg670850 (2)@1523@1369@.png,../Cities/origin/@CITY_1@seg670850 (3)@1523@1369@.png,CITY_1,seg670850,1523,1369,0.97467387,-0.23101829,8.4705925,0.23101829,0.97467387,-0.60583067
../Cities/origin/@CITY_1@seg670850 (2)@3906@1019@.png,../Cities/origin/@CITY_1@seg670850 (3)@3906@1019@.png,CITY_1,seg670850,3906,1019,0.899392,-0.045883317,-5.480534,0.045883317,0.899392,-2.7166612
../Cities/origin/@CITY_1@seg670850 (2)@458@1524@.png,../Cities/origin/@CITY_1@seg670850 (3)@458@1524@.png,CITY_1,seg670850,458,1524,1.184858,-0.06370855,9.1453285,0.06370855,1.184858,7.9364944
../Cities/origin/@CITY_1@seg670850 (2)@1478@2990@.png,../Cities/origin/@CITY_1@seg670850 (3)@1478@2990@.png,CITY_1,seg670850,1478,2990,0.8509322,-0.044236716,-4.4142804,0.044236716,0.8509322,6.296444
../Cities/origin/@CITY_1@seg670850 (2)@1536@902@.png,../Cities/origin/@CITY_1@seg670850 (3)@1536@902@.png,CITY_1,seg670850,1536,902,0.8849028,0.21154715,-5.5857906,-0.21154715,0.8849028,4.7669325
../Cities/origin/@CITY_1@seg670850 (2)@168@1020@.png,../Cities/origin/@CITY_1@seg670850 (3)@168@1020@.png,CITY_1,seg670850,168,1020,0.9191331,0.17191051,0.09464509,-0.17191051,0.9191331,-7.1281295
../Cities/origin/@CITY_1@seg670850 (2)@3789@1263@.png,../Cities/origin/@CITY_1@seg670850 (3)@3789@1263@.png,CITY_1,seg670850,3789,1263,0.9956832,0.060404886,1.2998587,-0.060404886,0.9956832,6.2909875
